scheme_code,scheme_name,cagr_3yr,cagr_5yr,expense_ratio
119551,SBI Bluechip Fund - Direct Plan - Growth,15.5%,14.2,1.2
120503,ICICI Prudential Bluechip Fund - Direct Plan - Growth,12.4,11.8%,1.8
118632,Nippon India Large Cap Fund - Direct Plan - Growth,N/A,16.5,0.85
119092,Axis Bluechip Fund - Direct Plan - Growth,18.2%,15.9%,3.2
120841,Kotak Bluechip Fund - Direct Plan - Growth,10.1,9.5,0.05
119999,HDFC Top 100 Fund - Direct Plan - Growth,14.8%,13.4%,1.1
120123,SBI Small Cap Fund - Direct Plan - Growth,11.2,10.5,1.5
120456,ICICI Prudential Liquid Fund - Direct Plan - Growth,6.5%,N/A,0.25
120789,HDFC Balanced Advantage Fund - Direct Plan - Growth,13.9%,12.8%,0.95
120999,Kotak Debt Hybrid Fund - Direct Plan - Growth,8.2,7.5,0.65
